"","circRNA","miRNAs"
"89","hsa_circ_0008285","hsa-miR-384"
"90","hsa_circ_0008285","hsa-miR-513a-5p"
"91","hsa_circ_0008285","hsa-miR-515-3p"
"92","hsa_circ_0008285","hsa-miR-516b"
"93","hsa_circ_0008285","hsa-miR-519e"
"94","hsa_circ_0008285","hsa-miR-545"
"95","hsa_circ_0008285","hsa-miR-572"
"96","hsa_circ_0008285","hsa-miR-604"
"97","hsa_circ_0008285","hsa-miR-609"
"98","hsa_circ_0008285","hsa-miR-615-5p"
"99","hsa_circ_0008285","hsa-miR-620"
"100","hsa_circ_0008285","hsa-miR-623"
"101","hsa_circ_0008285","hsa-miR-630"
"102","hsa_circ_0008285","hsa-miR-644"
"103","hsa_circ_0008285","hsa-miR-647"
"104","hsa_circ_0008285","hsa-miR-653"
"105","hsa_circ_0008285","hsa-miR-663b"
"106","hsa_circ_0008285","hsa-miR-885-3p"
"107","hsa_circ_0008285","hsa-miR-892a"
"108","hsa_circ_0052095","hsa-miR-1200"
"109","hsa_circ_0052095","hsa-miR-1224-3p"
"110","hsa_circ_0052095","hsa-miR-1270"
"111","hsa_circ_0052095","hsa-miR-1280"
"112","hsa_circ_0052095","hsa-miR-1290"
"113","hsa_circ_0052095","hsa-miR-1298"
"114","hsa_circ_0052095","hsa-miR-142-5p"
"115","hsa_circ_0052095","hsa-miR-188-3p"
"116","hsa_circ_0052095","hsa-miR-490-5p"
"117","hsa_circ_0052095","hsa-miR-510"
"118","hsa_circ_0052095","hsa-miR-512-5p"
"119","hsa_circ_0052095","hsa-miR-515-5p"
"120","hsa_circ_0052095","hsa-miR-568"
"121","hsa_circ_0052095","hsa-miR-579"
"122","hsa_circ_0052095","hsa-miR-620"
"123","hsa_circ_0052095","hsa-miR-7"
"124","hsa_circ_0052095","hsa-miR-873"
"125","hsa_circ_0012300","hsa-miR-1225-5p"
"126","hsa_circ_0012300","hsa-miR-1229"
"127","hsa_circ_0012300","hsa-miR-1287"
"128","hsa_circ_0012300","hsa-miR-1298"
"129","hsa_circ_0012300","hsa-miR-1304"
"130","hsa_circ_0012300","hsa-miR-1827"
"131","hsa_circ_0012300","hsa-miR-203"
"132","hsa_circ_0012300","hsa-miR-217"
"133","hsa_circ_0012300","hsa-miR-324-5p"
"134","hsa_circ_0012300","hsa-miR-361-3p"
"135","hsa_circ_0012300","hsa-miR-370"
"136","hsa_circ_0012300","hsa-miR-383"
"137","hsa_circ_0012300","hsa-miR-450b-3p"
"138","hsa_circ_0012300","hsa-miR-485-3p"
"139","hsa_circ_0012300","hsa-miR-487a"
"140","hsa_circ_0012300","hsa-miR-508-3p"
"141","hsa_circ_0012300","hsa-miR-520g"
"142","hsa_circ_0012300","hsa-miR-520h"
"143","hsa_circ_0012300","hsa-miR-548l"
"144","hsa_circ_0012300","hsa-miR-556-5p"
"145","hsa_circ_0012300","hsa-miR-569"
"146","hsa_circ_0012300","hsa-miR-578"
"147","hsa_circ_0012300","hsa-miR-579"
"148","hsa_circ_0012300","hsa-miR-581"
"149","hsa_circ_0012300","hsa-miR-607"
"150","hsa_circ_0012300","hsa-miR-616"
"151","hsa_circ_0012300","hsa-miR-623"
"152","hsa_circ_0012300","hsa-miR-624"
"153","hsa_circ_0012300","hsa-miR-628-3p"
"154","hsa_circ_0012300","hsa-miR-630"
"155","hsa_circ_0012300","hsa-miR-653"
"156","hsa_circ_0012300","hsa-miR-656"
"157","hsa_circ_0012300","hsa-miR-7"
"158","hsa_circ_0012300","hsa-miR-769-3p"
"159","hsa_circ_0012300","hsa-miR-942"
"160","hsa_circ_0047270","hsa-miR-1179"
"161","hsa_circ_0047270","hsa-miR-1224-3p"
"162","hsa_circ_0047270","hsa-miR-1256"
"163","hsa_circ_0047270","hsa-miR-1261"
"164","hsa_circ_0047270","hsa-miR-1276"
"165","hsa_circ_0047270","hsa-miR-1290"
"166","hsa_circ_0047270","hsa-miR-1324"
"167","hsa_circ_0047270","hsa-miR-139-5p"
"168","hsa_circ_0047270","hsa-miR-144"
"169","hsa_circ_0047270","hsa-miR-149"
"170","hsa_circ_0047270","hsa-miR-153"
"171","hsa_circ_0047270","hsa-miR-198"
"172","hsa_circ_0047270","hsa-miR-217"
"173","hsa_circ_0047270","hsa-miR-224"
"174","hsa_circ_0047270","hsa-miR-377"
"175","hsa_circ_0047270","hsa-miR-384"
"176","hsa_circ_0047270","hsa-miR-490-5p"
"177","hsa_circ_0047270","hsa-miR-508-3p"
"178","hsa_circ_0047270","hsa-miR-518a-5p"
"179","hsa_circ_0047270","hsa-miR-526b"
"180","hsa_circ_0047270","hsa-miR-527"
"181","hsa_circ_0047270","hsa-miR-554"
"182","hsa_circ_0047270","hsa-miR-578"
"183","hsa_circ_0047270","hsa-miR-579"
"184","hsa_circ_0047270","hsa-miR-583"
"185","hsa_circ_0047270","hsa-miR-610"
"186","hsa_circ_0047270","hsa-miR-622"
"187","hsa_circ_0047270","hsa-miR-623"
"188","hsa_circ_0047270","hsa-miR-646"
"189","hsa_circ_0047270","hsa-miR-657"
"190","hsa_circ_0047270","hsa-miR-665"
"191","hsa_circ_0047270","hsa-miR-766"
"192","hsa_circ_0047270","hsa-miR-767-5p"
"193","hsa_circ_0047270","hsa-miR-935"
"194","hsa_circ_0004305","hsa-miR-1206"
"195","hsa_circ_0004305","hsa-miR-1224-3p"
"196","hsa_circ_0004305","hsa-miR-1228"
"197","hsa_circ_0004305","hsa-miR-1252"
"198","hsa_circ_0004305","hsa-miR-1261"
"199","hsa_circ_0004305","hsa-miR-1270"
"200","hsa_circ_0004305","hsa-miR-1272"
"201","hsa_circ_0004305","hsa-miR-1294"
"202","hsa_circ_0004305","hsa-miR-1299"
"203","hsa_circ_0004305","hsa-miR-1305"
"204","hsa_circ_0004305","hsa-miR-1322"
"205","hsa_circ_0004305","hsa-miR-1324"
"206","hsa_circ_0004305","hsa-miR-139-5p"
"207","hsa_circ_0004305","hsa-miR-153"
"208","hsa_circ_0004305","hsa-miR-155"
"209","hsa_circ_0004305","hsa-miR-182"
"210","hsa_circ_0004305","hsa-miR-186"
"211","hsa_circ_0004305","hsa-miR-197"
"212","hsa_circ_0004305","hsa-miR-198"
"213","hsa_circ_0004305","hsa-miR-203"
"214","hsa_circ_0004305","hsa-miR-31"
"215","hsa_circ_0004305","hsa-miR-323-3p"
"216","hsa_circ_0004305","hsa-miR-326"
"217","hsa_circ_0004305","hsa-miR-330-5p"
"218","hsa_circ_0004305","hsa-miR-370"
"219","hsa_circ_0004305","hsa-miR-432"
"220","hsa_circ_0004305","hsa-miR-492"
"221","hsa_circ_0004305","hsa-miR-494"
"222","hsa_circ_0004305","hsa-miR-495"
"223","hsa_circ_0004305","hsa-miR-496"
"224","hsa_circ_0004305","hsa-miR-507"
"225","hsa_circ_0004305","hsa-miR-513a-5p"
"226","hsa_circ_0004305","hsa-miR-515-3p"
"227","hsa_circ_0004305","hsa-miR-516b"
"228","hsa_circ_0004305","hsa-miR-518a-5p"
"229","hsa_circ_0004305","hsa-miR-519e"
"230","hsa_circ_0004305","hsa-miR-527"
"231","hsa_circ_0004305","hsa-miR-545"
"232","hsa_circ_0004305","hsa-miR-557"
"233","hsa_circ_0004305","hsa-miR-570"
"234","hsa_circ_0004305","hsa-miR-572"
"235","hsa_circ_0004305","hsa-miR-576-5p"
"236","hsa_circ_0004305","hsa-miR-577"
"237","hsa_circ_0004305","hsa-miR-604"
"238","hsa_circ_0004305","hsa-miR-616"
"239","hsa_circ_0004305","hsa-miR-620"
"240","hsa_circ_0004305","hsa-miR-622"
"241","hsa_circ_0004305","hsa-miR-626"
"242","hsa_circ_0004305","hsa-miR-630"
"243","hsa_circ_0004305","hsa-miR-636"
"244","hsa_circ_0004305","hsa-miR-644"
"245","hsa_circ_0004305","hsa-miR-647"
"246","hsa_circ_0004305","hsa-miR-656"
"247","hsa_circ_0004305","hsa-miR-659"
"248","hsa_circ_0004305","hsa-miR-665"
"249","hsa_circ_0004305","hsa-miR-668"
"250","hsa_circ_0004305","hsa-miR-769-5p"
"251","hsa_circ_0004305","hsa-miR-876-3p"
"252","hsa_circ_0004305","hsa-miR-890"
"253","hsa_circ_0004305","hsa-miR-934"
"254","hsa_circ_0004305","hsa-miR-938"
"255","hsa_circ_0008350","hsa-miR-1205"
"256","hsa_circ_0008350","hsa-miR-1206"
"257","hsa_circ_0008350","hsa-miR-1236"
"258","hsa_circ_0008350","hsa-miR-1246"
"259","hsa_circ_0008350","hsa-miR-182"
"260","hsa_circ_0008350","hsa-miR-198"
"261","hsa_circ_0008350","hsa-miR-490-5p"
"262","hsa_circ_0008350","hsa-miR-545"
"263","hsa_circ_0008350","hsa-miR-585"
"264","hsa_circ_0008350","hsa-miR-657"
"265","hsa_circ_0001906","hsa-miR-1178"
"266","hsa_circ_0001906","hsa-miR-1184"
"267","hsa_circ_0001906","hsa-miR-1205"
"268","hsa_circ_0001906","hsa-miR-1206"
"269","hsa_circ_0001906","hsa-miR-1228"
"270","hsa_circ_0001906","hsa-miR-1278"
"271","hsa_circ_0001906","hsa-miR-1287"
"272","hsa_circ_0001906","hsa-miR-1304"
"273","hsa_circ_0001906","hsa-miR-1307"
"274","hsa_circ_0001906","hsa-miR-146b-3p"
"275","hsa_circ_0001906","hsa-miR-1825"
"276","hsa_circ_0001906","hsa-miR-217"
"277","hsa_circ_0001906","hsa-miR-338-3p"
"278","hsa_circ_0001906","hsa-miR-486-3p"
"279","hsa_circ_0001906","hsa-miR-502-5p"
"280","hsa_circ_0001906","hsa-miR-503"
"281","hsa_circ_0001906","hsa-miR-558"
"282","hsa_circ_0001906","hsa-miR-583"
"283","hsa_circ_0001906","hsa-miR-625"
"284","hsa_circ_0001906","hsa-miR-634"
"285","hsa_circ_0001906","hsa-miR-653"
"286","hsa_circ_0001906","hsa-miR-661"
"287","hsa_circ_0001906","hsa-miR-766"
"288","hsa_circ_0001906","hsa-miR-767-3p"
"289","hsa_circ_0001906","hsa-miR-769-5p"
"290","hsa_circ_0001906","hsa-miR-874"
"291","hsa_circ_0001906","hsa-miR-885-3p"
"292","hsa_circ_0001906","hsa-miR-924"
"293","hsa_circ_0001888","hsa-miR-1182"
"294","hsa_circ_0001888","hsa-miR-1203"
"295","hsa_circ_0001888","hsa-miR-1208"
"296","hsa_circ_0001888","hsa-miR-1229"
"297","hsa_circ_0001888","hsa-miR-1236"
"298","hsa_circ_0001888","hsa-miR-1248"
"299","hsa_circ_0001888","hsa-miR-1294"
"300","hsa_circ_0001888","hsa-miR-1299"
"301","hsa_circ_0001888","hsa-miR-194"
"302","hsa_circ_0001888","hsa-miR-197"
"303","hsa_circ_0001888","hsa-miR-326"
"304","hsa_circ_0001888","hsa-miR-330-5p"
"305","hsa_circ_0001888","hsa-miR-331-3p"
"306","hsa_circ_0001888","hsa-miR-375"
"307","hsa_circ_0001888","hsa-miR-421"
"308","hsa_circ_0001888","hsa-miR-431"
"309","hsa_circ_0001888","hsa-miR-507"
"310","hsa_circ_0001888","hsa-miR-515-5p"
"311","hsa_circ_0001888","hsa-miR-520g"
"312","hsa_circ_0001888","hsa-miR-520h"
"313","hsa_circ_0001888","hsa-miR-543"
"314","hsa_circ_0001888","hsa-miR-545"
"315","hsa_circ_0001888","hsa-miR-548p"
"316","hsa_circ_0001888","hsa-miR-557"
"317","hsa_circ_0001888","hsa-miR-578"
"318","hsa_circ_0001888","hsa-miR-593"
"319","hsa_circ_0001888","hsa-miR-599"
"320","hsa_circ_0001888","hsa-miR-629"
"321","hsa_circ_0001888","hsa-miR-630"
"322","hsa_circ_0001888","hsa-miR-640"
"323","hsa_circ_0001888","hsa-miR-653"
"324","hsa_circ_0001888","hsa-miR-654-3p"
"325","hsa_circ_0001888","hsa-miR-875-5p"
"326","hsa_circ_0001888","hsa-miR-877"
"327","hsa_circ_0001888","hsa-miR-936"
"328","hsa_circ_0001888","hsa-miR-942"
"329","hsa_circ_0000615","hsa-miR-1200"
"330","hsa_circ_0000615","hsa-miR-1203"
"331","hsa_circ_0000615","hsa-miR-1224-3p"
"332","hsa_circ_0000615","hsa-miR-1225-3p"
"333","hsa_circ_0000615","hsa-miR-1231"
"334","hsa_circ_0000615","hsa-miR-1233"
"335","hsa_circ_0000615","hsa-miR-1236"
"336","hsa_circ_0000615","hsa-miR-1247"
"337","hsa_circ_0000615","hsa-miR-1248"
"338","hsa_circ_0000615","hsa-miR-1272"
"339","hsa_circ_0000615","hsa-miR-1273"
"340","hsa_circ_0000615","hsa-miR-1280"
"341","hsa_circ_0000615","hsa-miR-1290"
"342","hsa_circ_0000615","hsa-miR-142-3p"
"343","hsa_circ_0000615","hsa-miR-145"
"344","hsa_circ_0000615","hsa-miR-149"
"345","hsa_circ_0000615","hsa-miR-324-5p"
"346","hsa_circ_0000615","hsa-miR-337-3p"
"347","hsa_circ_0000615","hsa-miR-338-3p"
"348","hsa_circ_0000615","hsa-miR-339-3p"
"349","hsa_circ_0000615","hsa-miR-361-3p"
"350","hsa_circ_0000615","hsa-miR-384"
"351","hsa_circ_0000615","hsa-miR-432"
"352","hsa_circ_0000615","hsa-miR-487a"
"353","hsa_circ_0000615","hsa-miR-492"
"354","hsa_circ_0000615","hsa-miR-502-5p"
"355","hsa_circ_0000615","hsa-miR-503"
"356","hsa_circ_0000615","hsa-miR-556-5p"
"357","hsa_circ_0000615","hsa-miR-558"
"358","hsa_circ_0000615","hsa-miR-578"
"359","hsa_circ_0000615","hsa-miR-615-5p"
"360","hsa_circ_0000615","hsa-miR-621"
"361","hsa_circ_0000615","hsa-miR-623"
"362","hsa_circ_0000615","hsa-miR-629"
"363","hsa_circ_0000615","hsa-miR-644"
"364","hsa_circ_0000615","hsa-miR-646"
"365","hsa_circ_0000615","hsa-miR-648"
"366","hsa_circ_0000615","hsa-miR-654-3p"
"367","hsa_circ_0000615","hsa-miR-663b"
"368","hsa_circ_0000615","hsa-miR-766"
"369","hsa_circ_0000615","hsa-miR-767-3p"
"370","hsa_circ_0000615","hsa-miR-767-5p"
"371","hsa_circ_0000615","hsa-miR-890"
"372","hsa_circ_0000615","hsa-miR-892b"
"373","hsa_circ_0000615","hsa-miR-942"
"374","hsa_circ_0032965","hsa-miR-1200"
"375","hsa_circ_0032965","hsa-miR-1258"
"376","hsa_circ_0032965","hsa-miR-1276"
"377","hsa_circ_0032965","hsa-miR-1279"
"378","hsa_circ_0032965","hsa-miR-1322"
"379","hsa_circ_0032965","hsa-miR-1825"
"380","hsa_circ_0032965","hsa-miR-335"
"381","hsa_circ_0032965","hsa-miR-377"
"382","hsa_circ_0032965","hsa-miR-485-3p"
"383","hsa_circ_0032965","hsa-miR-488"
"384","hsa_circ_0032965","hsa-miR-502-5p"
"385","hsa_circ_0032965","hsa-miR-513a-3p"
"386","hsa_circ_0032965","hsa-miR-515-3p"
"387","hsa_circ_0032965","hsa-miR-519e"
"388","hsa_circ_0032965","hsa-miR-526b"
"389","hsa_circ_0032965","hsa-miR-532-3p"
"390","hsa_circ_0032965","hsa-miR-567"
"391","hsa_circ_0032965","hsa-miR-568"
"392","hsa_circ_0032965","hsa-miR-571"
"393","hsa_circ_0032965","hsa-miR-577"
"394","hsa_circ_0032965","hsa-miR-578"
"395","hsa_circ_0032965","hsa-miR-624"
"396","hsa_circ_0032965","hsa-miR-643"
"397","hsa_circ_0032965","hsa-miR-647"
"398","hsa_circ_0032965","hsa-miR-651"
"399","hsa_circ_0032965","hsa-miR-654-3p"
"400","hsa_circ_0032965","hsa-miR-665"
"401","hsa_circ_0032965","hsa-miR-885-5p"
"402","hsa_circ_0032965","hsa-miR-889"
"403","hsa_circ_0000963","hsa-miR-1184"
"404","hsa_circ_0000963","hsa-miR-1205"
"405","hsa_circ_0000963","hsa-miR-1231"
"406","hsa_circ_0000963","hsa-miR-1286"
"407","hsa_circ_0000963","hsa-miR-149"
"408","hsa_circ_0000963","hsa-miR-1825"
"409","hsa_circ_0000963","hsa-miR-508-3p"
"410","hsa_circ_0000963","hsa-miR-545"
"411","hsa_circ_0000963","hsa-miR-581"
"412","hsa_circ_0000963","hsa-miR-591"
"413","hsa_circ_0000963","hsa-miR-616"
"414","hsa_circ_0000963","hsa-miR-644"
"415","hsa_circ_0001513","hsa-miR-1178"
"416","hsa_circ_0001513","hsa-miR-1208"
"417","hsa_circ_0001513","hsa-miR-1248"
"418","hsa_circ_0001513","hsa-miR-1252"
"419","hsa_circ_0001513","hsa-miR-1265"
"420","hsa_circ_0001513","hsa-miR-1279"
"421","hsa_circ_0001513","hsa-miR-1305"
"422","hsa_circ_0001513","hsa-miR-146b-3p"
"423","hsa_circ_0001513","hsa-miR-183"
"424","hsa_circ_0001513","hsa-miR-188-3p"
"425","hsa_circ_0001513","hsa-miR-203"
"426","hsa_circ_0001513","hsa-miR-377"
"427","hsa_circ_0001513","hsa-miR-433"
"428","hsa_circ_0001513","hsa-miR-502-5p"
"429","hsa_circ_0001513","hsa-miR-510"
"430","hsa_circ_0001513","hsa-miR-518a-5p"
"431","hsa_circ_0001513","hsa-miR-527"
"432","hsa_circ_0001513","hsa-miR-532-3p"
"433","hsa_circ_0001513","hsa-miR-548b-3p"
"434","hsa_circ_0001513","hsa-miR-548k"
"435","hsa_circ_0001513","hsa-miR-548m"
"436","hsa_circ_0001513","hsa-miR-571"
"437","hsa_circ_0001513","hsa-miR-578"
"438","hsa_circ_0001513","hsa-miR-586"
"439","hsa_circ_0001513","hsa-miR-605"
"440","hsa_circ_0001513","hsa-miR-634"
"441","hsa_circ_0001513","hsa-miR-646"
"442","hsa_circ_0001513","hsa-miR-656"
"443","hsa_circ_0001513","hsa-miR-665"
"444","hsa_circ_0001513","hsa-miR-668"
"445","hsa_circ_0001513","hsa-miR-671-5p"
"446","hsa_circ_0001513","hsa-miR-874"
"447","hsa_circ_0001513","hsa-miR-877"
"448","hsa_circ_0001513","hsa-miR-885-3p"
"449","hsa_circ_0001513","hsa-miR-95"
"450","hsa_circ_0005598","hsa-miR-1208"
"451","hsa_circ_0005598","hsa-miR-1289"
"452","hsa_circ_0005598","hsa-miR-1294"
"453","hsa_circ_0005598","hsa-miR-1827"
"454","hsa_circ_0005598","hsa-miR-197"
"455","hsa_circ_0005598","hsa-miR-377"
"456","hsa_circ_0005598","hsa-miR-490-5p"
"457","hsa_circ_0005598","hsa-miR-492"
"458","hsa_circ_0005598","hsa-miR-517b"
"459","hsa_circ_0005598","hsa-miR-556-5p"
"460","hsa_circ_0005598","hsa-miR-890"
"461","hsa_circ_0005598","hsa-miR-921"
"462","hsa_circ_0005598","hsa-miR-940"
"463","hsa_circ_0021712","hsa-miR-1248"
"464","hsa_circ_0021712","hsa-miR-1257"
"465","hsa_circ_0021712","hsa-miR-1305"
"466","hsa_circ_0021712","hsa-miR-142-3p"
"467","hsa_circ_0021712","hsa-miR-144"
"468","hsa_circ_0021712","hsa-miR-146b-3p"
"469","hsa_circ_0021712","hsa-miR-182"
"470","hsa_circ_0021712","hsa-miR-1825"
"471","hsa_circ_0021712","hsa-miR-191"
"472","hsa_circ_0021712","hsa-miR-194"
"473","hsa_circ_0021712","hsa-miR-198"
"474","hsa_circ_0021712","hsa-miR-217"
"475","hsa_circ_0021712","hsa-miR-421"
"476","hsa_circ_0021712","hsa-miR-450b-3p"
"477","hsa_circ_0021712","hsa-miR-513a-5p"
"478","hsa_circ_0021712","hsa-miR-526b"
"479","hsa_circ_0021712","hsa-miR-553"
"480","hsa_circ_0021712","hsa-miR-571"
"481","hsa_circ_0021712","hsa-miR-574-5p"
"482","hsa_circ_0021712","hsa-miR-582-3p"
"483","hsa_circ_0021712","hsa-miR-586"
"484","hsa_circ_0021712","hsa-miR-618"
"485","hsa_circ_0021712","hsa-miR-621"
"486","hsa_circ_0021712","hsa-miR-638"
"487","hsa_circ_0021712","hsa-miR-663b"
"488","hsa_circ_0021712","hsa-miR-665"
"489","hsa_circ_0021712","hsa-miR-769-3p"
"490","hsa_circ_0021712","hsa-miR-874"
"491","hsa_circ_0021712","hsa-miR-876-3p"
"492","hsa_circ_0021712","hsa-miR-921"
"493","hsa_circ_0021712","hsa-miR-935"
"494","hsa_circ_0021712","hsa-miR-942"
"495","hsa_circ_0001006","hsa-miR-1183"
"496","hsa_circ_0001006","hsa-miR-1228"
"497","hsa_circ_0001006","hsa-miR-1299"
"498","hsa_circ_0001006","hsa-miR-146b-3p"
"499","hsa_circ_0001006","hsa-miR-335"
"500","hsa_circ_0001006","hsa-miR-516b"
"501","hsa_circ_0001006","hsa-miR-517a"
"502","hsa_circ_0001006","hsa-miR-517b"
"503","hsa_circ_0001006","hsa-miR-517c"
"504","hsa_circ_0001006","hsa-miR-566"
"505","hsa_circ_0001006","hsa-miR-568"
"506","hsa_circ_0001006","hsa-miR-593"
"507","hsa_circ_0001006","hsa-miR-643"
"508","hsa_circ_0001006","hsa-miR-766"
"509","hsa_circ_0001006","hsa-miR-874"
"510","hsa_circ_0001006","hsa-miR-891b"
"511","hsa_circ_0031632","hsa-miR-100"
"512","hsa_circ_0031632","hsa-miR-1200"
"513","hsa_circ_0031632","hsa-miR-1208"
"514","hsa_circ_0031632","hsa-miR-1236"
"515","hsa_circ_0031632","hsa-miR-1251"
"516","hsa_circ_0031632","hsa-miR-1282"
"517","hsa_circ_0031632","hsa-miR-1286"
"518","hsa_circ_0031632","hsa-miR-1299"
"519","hsa_circ_0031632","hsa-miR-1305"
"520","hsa_circ_0031632","hsa-miR-1322"
"521","hsa_circ_0031632","hsa-miR-136"
"522","hsa_circ_0031632","hsa-miR-335"
"523","hsa_circ_0031632","hsa-miR-337-3p"
"524","hsa_circ_0031632","hsa-miR-377"
"525","hsa_circ_0031632","hsa-miR-384"
"526","hsa_circ_0031632","hsa-miR-421"
"527","hsa_circ_0031632","hsa-miR-431"
"528","hsa_circ_0031632","hsa-miR-488"
"529","hsa_circ_0031632","hsa-miR-513a-3p"
"530","hsa_circ_0031632","hsa-miR-513a-5p"
"531","hsa_circ_0031632","hsa-miR-515-5p"
"532","hsa_circ_0031632","hsa-miR-516b"
"533","hsa_circ_0031632","hsa-miR-518a-5p"
"534","hsa_circ_0031632","hsa-miR-520f"
"535","hsa_circ_0031632","hsa-miR-527"
"536","hsa_circ_0031632","hsa-miR-548c-3p"
"537","hsa_circ_0031632","hsa-miR-548p"
"538","hsa_circ_0031632","hsa-miR-555"
"539","hsa_circ_0031632","hsa-miR-561"
"540","hsa_circ_0031632","hsa-miR-577"
"541","hsa_circ_0031632","hsa-miR-578"
"542","hsa_circ_0031632","hsa-miR-579"
"543","hsa_circ_0031632","hsa-miR-581"
"544","hsa_circ_0031632","hsa-miR-586"
"545","hsa_circ_0031632","hsa-miR-587"
"546","hsa_circ_0031632","hsa-miR-598"
"547","hsa_circ_0031632","hsa-miR-599"
"548","hsa_circ_0031632","hsa-miR-607"
"549","hsa_circ_0031632","hsa-miR-616"
"550","hsa_circ_0031632","hsa-miR-630"
"551","hsa_circ_0031632","hsa-miR-633"
"552","hsa_circ_0031632","hsa-miR-659"
"553","hsa_circ_0031632","hsa-miR-661"
"554","hsa_circ_0031632","hsa-miR-7"
"555","hsa_circ_0031632","hsa-miR-767-5p"
"556","hsa_circ_0031632","hsa-miR-873"
"557","hsa_circ_0031632","hsa-miR-885-5p"
"558","hsa_circ_0031632","hsa-miR-935"
"559","hsa_circ_0031632","hsa-miR-942"
"560","hsa_circ_0031632","hsa-miR-99a"
